Title,Link,Rating,Description,Genre,Duration (hrs)
American History X,https://www.imdb.com/title/tt0120586/,8.5,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his foot...","Crime, Drama",1h 59m
Whiplash,https://www.imdb.com/title/tt2582802/,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student&apos;s potential.,"Drama, Music",1h 46m
The Prestige,https://www.imdb.com/title/tt0482571/,8.5,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Drama, Mystery, Sci-Fi",2h 10m
Hotaru no haka,https://www.imdb.com/title/tt0095327/,8.5,A young boy and his little sister struggle to survive in Japan during World War II.,"Animation, Drama, War",1h 29m
Seppuku,https://www.imdb.com/title/tt0056058/,8.6,"When a ronin requesting seppuku at a feudal lord&apos;s palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan&apos;s integrity.","Action, Drama, Mystery",2h 13m
The Usual Suspects,https://www.imdb.com/title/tt0114814/,8.5,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,"Crime, Drama, Mystery",1h 46m
Casablanca,https://www.imdb.com/title/tt0034583/,8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"Drama, Romance, War",1h 42m
Intouchables,https://www.imdb.com/title/tt1675434/,8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Comedy, Drama",1h 52m
Nuovo Cinema Paradiso,https://www.imdb.com/title/tt0095765/,8.5,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema&apos;s projectionist.,"Drama, Romance",2h 54m
Modern Times,https://www.imdb.com/title/tt0027977/,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Comedy, Drama, Romance",1h 27m
Rear Window,https://www.imdb.com/title/tt0047396/,8.5,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window and, despite the skepticism of his fashion-model girlfriend, becomes convinced one of them has committed murder.","Mystery, Thriller",1h 52m
C&apos;era una volta il West,https://www.imdb.com/title/tt0064116/,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"Drama, Western",2h 46m
Alien,https://www.imdb.com/title/tt0078748/,8.5,The crew of a commercial spacecraft encounters a deadly lifeform after investigating a mysterious transmission of unknown origin.,"Horror, Sci-Fi",1h 57m
City Lights,https://www.imdb.com/title/tt0021749/,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Comedy, Drama, Romance",1h 27m
Django Unchained,https://www.imdb.com/title/tt1853728/,8.5,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","Comedy, Drama, Western",2h 45m
Apocalypse Now,https://www.imdb.com/title/tt0078788/,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Drama, Mystery, War",2h 27m
Memento,https://www.imdb.com/title/tt0209144/,8.4,A man with short-term memory loss attempts to track down his wife&apos;s murderer.,"Mystery, Thriller",1h 53m
WALL·E,https://www.imdb.com/title/tt0910970/,8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","Animation, Adventure, Family",1h 38m
12th Fail,https://www.imdb.com/title/tt23849204/,8.9,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,"Biography, Drama",2h 27m
Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,8.4,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.","Action, Adventure",1h 55m
Das Leben der Anderen,https://www.imdb.com/title/tt0405094/,8.4,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.","Drama, Mystery, Thriller",2h 17m
Sunset Blvd.,https://www.imdb.com/title/tt0043014/,8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"Drama, Film-Noir",1h 50m
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Action, Adventure, Sci-Fi",2h 29m
